---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 1-1  1.970e+00  [0 1.000e+00 1.000e+00 9.188e-07]  [165 -1 31]
 HS 1-2  3.919e+00  [-120 9.188e-07 9.188e-07 9.764e-07]  [174 0 33]
 HS 1-1  5.853e+00  [0 1.000e+00 1.000e+00 9.744e-07]  [161 -1 31]
 HS 1-2  7.865e+00  [-120 9.744e-07 9.744e-07 9.632e-07]  [174 0 33]
 HS 1-1  9.737e+00  [0 1.000e+00 1.000e+00 9.786e-07]  [162 -1 31]
 HS 1-2  1.170e+01  [-120 9.786e-07 9.786e-07 9.590e-07]  [174 0 33]
 HS 1-1  1.464e+01  [0 1.000e+00 1.000e+00 9.869e-07]  [406 0 54]
 HS 1-2  1.769e+01  [-120 9.869e-07 9.869e-07 9.838e-07]  [456 0 57]
 HS 1-1  1.955e+01  [0 1.000e+00 1.000e+00 9.136e-07]  [160 -1 29]
 HS 1-2  2.151e+01  [-120 9.136e-07 9.136e-07 9.876e-07]  [176 0 34]
---------------------------------------------------------------------
 HS 2-1  2.335e+01  [0 1.000e+00 5.000e-01 9.244e-07]  [165 -1 30]
 HS 2-2  2.530e+01  [-120 9.244e-07 4.622e-07 9.668e-07]  [174 0 30]
 HS 2-1  2.719e+01  [0 1.000e+00 5.000e-01 9.744e-07]  [161 -1 31]
 HS 2-2  2.916e+01  [-120 9.744e-07 4.872e-07 9.629e-07]  [174 0 33]
 HS 2-1  3.113e+01  [0 1.000e+00 5.000e-01 9.948e-07]  [162 -1 31]
 HS 2-2  3.326e+01  [-120 9.948e-07 4.974e-07 9.487e-07]  [174 0 30]
 HS 2-1  3.607e+01  [0 1.000e+00 5.000e-01 9.936e-07]  [406 0 54]
 HS 2-2  3.913e+01  [-120 9.936e-07 4.968e-07 9.899e-07]  [456 0 56]
 HS 2-1  4.125e+01  [0 1.000e+00 5.000e-01 9.136e-07]  [160 -1 30]
 HS 2-2  4.323e+01  [-120 9.136e-07 4.568e-07 9.875e-07]  [176 0 33]
---------------------------------------------------------------------
 HS 3-1  4.517e+01  [0 1.000e+00 2.500e-01 9.287e-07]  [165 -1 32]
 HS 3-2  4.710e+01  [-120 9.287e-07 2.322e-07 9.624e-07]  [174 0 34]
 HS 3-1  4.899e+01  [0 1.000e+00 2.500e-01 9.744e-07]  [161 -1 31]
 HS 3-2  5.093e+01  [-120 9.744e-07 2.436e-07 9.668e-07]  [174 0 32]
 HS 3-1  5.298e+01  [0 1.000e+00 2.500e-01 9.947e-07]  [162 -1 28]
 HS 3-2  5.495e+01  [-120 9.947e-07 2.487e-07 9.448e-07]  [174 0 33]
 HS 3-1  5.771e+01  [0 1.000e+00 2.500e-01 9.928e-07]  [406 0 53]
 HS 3-2  6.057e+01  [-120 9.928e-07 2.482e-07 9.800e-07]  [456 0 54]
 HS 3-1  6.240e+01  [0 1.000e+00 2.500e-01 9.136e-07]  [160 -1 30]
 HS 3-2  6.429e+01  [-120 9.136e-07 2.284e-07 9.876e-07]  [176 0 31]
---------------------------------------------------------------------
 HS 4-1  6.616e+01  [0 1.000e+00 1.250e-01 9.189e-07]  [165 -1 31]
 HS 4-2  6.808e+01  [-120 9.189e-07 1.149e-07 9.734e-07]  [174 0 31]
 HS 4-1  6.992e+01  [0 1.000e+00 1.250e-01 9.744e-07]  [161 -1 32]
 HS 4-2  7.183e+01  [-120 9.744e-07 1.218e-07 1.637e-06]  [168 0 31]
 HS 4-1  7.378e+01  [0 1.000e+00 1.250e-01 9.948e-07]  [162 -1 32]
 HS 4-2  7.567e+01  [-120 9.948e-07 1.244e-07 1.643e-06]  [168 0 31]
 HS 4-1  7.844e+01  [0 1.000e+00 1.250e-01 9.948e-07]  [406 0 53]
 HS 4-2  8.136e+01  [-120 9.948e-07 1.243e-07 1.533e-06]  [449 0 56]
 HS 4-1  8.323e+01  [0 1.000e+00 1.250e-01 9.136e-07]  [160 -1 31]
 HS 4-2  8.514e+01  [-120 9.136e-07 1.142e-07 9.880e-07]  [176 0 31]
---------------------------------------------------------------------
 HS 5-1  8.708e+01  [0 1.000e+00 6.250e-02 9.363e-07]  [165 -1 31]
 HS 5-2  8.895e+01  [-120 9.363e-07 5.852e-08 1.695e-06]  [168 0 30]
 HS 5-1  9.080e+01  [0 1.000e+00 6.250e-02 9.744e-07]  [161 -1 31]
 HS 5-2  9.272e+01  [-120 9.744e-07 6.090e-08 2.972e-06]  [163 0 32]
